Sample no#,Specimen no#,Flea species,flea subspecies/morphotype,total fleas,Females,Males,Slide,cox1,Fig5 (multigene),Fig6 (clades),Fig7 (haplotype),cox1 haplotype,Note,Clade 1,Cluster,ID,cox1,cox2,Histone H3,EF-1a,Continent,Country,State/Province/Island,Town/Region,Latitude,Longitude,Host scientific name,Host,Collection date,Collector,Notes
AL346,AL346-1,Ctenocephalides canis,,1,1,0,1,1,0,1,1,h10,included,,,CTENO177-18,KP684210.1,,,,Europe,Czech Republic,Moravian-Silesian Region�,Doln� Bene_ov,49.9213,18.1017,Felis catus & Canis Lupus familiaris,cats and dogs,16-June-2014,Lucia Panakova,"Lawrence, A.L., Hii, S.-F., Jirsov�, D., Pan�kov�, L., Ionic_, A.M., Gilchrist, K., Modr_, D., Mihalca, A.D., Webb, C.E., Traub, R.J., _lapeta, J., 2015. Integrated morphological and molecular identification of cat fleas (Ctenocephalides felis) and dog fleas (Ctenocephalides canis) vectoring Rickettsia felis in central Europe. Vet. Parasitol. 210, 215-223."
AL347,AL347-3,Ctenocephalides canis,,1,1,0,1,1,0,1,1,h30,included,,,CTENO178-18,KP684212.1,,,,Europe,Czech Republic,Liberec Region,Cvikov,50.7732,14.6330,Felis catus & Canis Lupus familiaris,cats and dogs,16-June-2014,Lucia Panakova,"Lawrence, A.L., Hii, S.-F., Jirsov�, D., Pan�kov�, L., Ionic_, A.M., Gilchrist, K., Modr_, D., Mihalca, A.D., Webb, C.E., Traub, R.J., _lapeta, J., 2015. Integrated morphological and molecular identification of cat fleas (Ctenocephalides felis) and dog fleas (Ctenocephalides canis) vectoring Rickettsia felis in central Europe. Vet. Parasitol. 210, 215-223."
AL348,AL348-2,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO179-18,KP684195.1,,,,Europe,Czech Republic,Central Bohemian Region,Kladno,50.1445,14.1063,Felis catus & Canis Lupus familiaris,cats and dogs,16-June-2014,Lucia Panakova,"Lawrence, A.L., Hii, S.-F., Jirsov�, D., Pan�kov�, L., Ionic_, A.M., Gilchrist, K., Modr_, D., Mihalca, A.D., Webb, C.E., Traub, R.J., _lapeta, J., 2015. Integrated morphological and molecular identification of cat fleas (Ctenocephalides felis) and dog fleas (Ctenocephalides canis) vectoring Rickettsia felis in central Europe. Vet. Parasitol. 210, 215-223."
AL348,AL348-3,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h9,included,Clade 2,Temperate,CTENO180-18,KP684203.1,,,,Europe,Czech Republic,Central Bohemian Region,Kladno,50.1445,14.1063,Felis catus & Canis Lupus familiaris,cats and dogs,16-June-2014,Lucia Panakova,"Lawrence, A.L., Hii, S.-F., Jirsov�, D., Pan�kov�, L., Ionic_, A.M., Gilchrist, K., Modr_, D., Mihalca, A.D., Webb, C.E., Traub, R.J., _lapeta, J., 2015. Integrated morphological and molecular identification of cat fleas (Ctenocephalides felis) and dog fleas (Ctenocephalides canis) vectoring Rickettsia felis in central Europe. Vet. Parasitol. 210, 215-223."
AL348,AL348-1,Ctenocephalides canis,,1,1,0,1,1,0,1,1,h36,included,,,CTENO181-18,KP684211.1,,,,Europe,Czech Republic,Central Bohemian Region,Kladno,50.1445,14.1063,Felis catus & Canis Lupus familiaris,cats and dogs,16-June-2014,Lucia Panakova,"Lawrence, A.L., Hii, S.-F., Jirsov�, D., Pan�kov�, L., Ionic_, A.M., Gilchrist, K., Modr_, D., Mihalca, A.D., Webb, C.E., Traub, R.J., _lapeta, J., 2015. Integrated morphological and molecular identification of cat fleas (Ctenocephalides felis) and dog fleas (Ctenocephalides canis) vectoring Rickettsia felis in central Europe. Vet. Parasitol. 210, 215-223."
AL349,AL349-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h37,included,Clade 1,Temperate,CTENO182-18,KP684198.1,,,,Europe,Czech Republic,South Moravian Region,Ti_nov�,49.3467,16.4263,Felis catus & Canis Lupus familiaris,cats and dogs,16-June-2014,Lucia Panakova,"Lawrence, A.L., Hii, S.-F., Jirsov�, D., Pan�kov�, L., Ionic_, A.M., Gilchrist, K., Modr_, D., Mihalca, A.D., Webb, C.E., Traub, R.J., _lapeta, J., 2015. Integrated morphological and molecular identification of cat fleas (Ctenocephalides felis) and dog fleas (Ctenocephalides canis) vectoring Rickettsia felis in central Europe. Vet. Parasitol. 210, 215-223."
AL349,AL349-2,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h37,included,Clade 1,Temperate,CTENO183-18,KP684197.1,,,,Europe,Czech Republic,South Moravian Region,Ti_nov�,49.3467,16.4263,Felis catus & Canis Lupus familiaris,cats and dogs,16-June-2014,Lucia Panakova,"Lawrence, A.L., Hii, S.-F., Jirsov�, D., Pan�kov�, L., Ionic_, A.M., Gilchrist, K., Modr_, D., Mihalca, A.D., Webb, C.E., Traub, R.J., _lapeta, J., 2015. Integrated morphological and molecular identification of cat fleas (Ctenocephalides felis) and dog fleas (Ctenocephalides canis) vectoring Rickettsia felis in central Europe. Vet. Parasitol. 210, 215-223."
AL350,AL350-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO184-18,KP684192.1,,,,Europe,Czech Republic,�st� nad Labem Region,Louny,50.3521,13.8033,Felis catus & Canis Lupus familiaris,cats and dogs,16-June-2014,Lucia Panakova,"Lawrence, A.L., Hii, S.-F., Jirsov�, D., Pan�kov�, L., Ionic_, A.M., Gilchrist, K., Modr_, D., Mihalca, A.D., Webb, C.E., Traub, R.J., _lapeta, J., 2015. Integrated morphological and molecular identification of cat fleas (Ctenocephalides felis) and dog fleas (Ctenocephalides canis) vectoring Rickettsia felis in central Europe. Vet. Parasitol. 210, 215-223."
AL350,AL350-2,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO185-18,KP684191.1,,,,Europe,Czech Republic,�st� nad Labem Region,Louny,50.3521,13.8033,Felis catus & Canis Lupus familiaris,cats and dogs,16-June-2014,Lucia Panakova,"Lawrence, A.L., Hii, S.-F., Jirsov�, D., Pan�kov�, L., Ionic_, A.M., Gilchrist, K., Modr_, D., Mihalca, A.D., Webb, C.E., Traub, R.J., _lapeta, J., 2015. Integrated morphological and molecular identification of cat fleas (Ctenocephalides felis) and dog fleas (Ctenocephalides canis) vectoring Rickettsia felis in central Europe. Vet. Parasitol. 210, 215-223."
AL351,AL351-1,Ctenocephalides felis,felis,1,0,1,1,1,0,1,1,h9,included,Clade 2,Temperate,CTENO186-18,KP684205.1,,,,Europe,Czech Republic,�st� nad Labem Region,Louny,50.3521,13.8033,Felis catus & Canis Lupus familiaris,cats and dogs,16-June-2014,Lucia Panakova,"Lawrence, A.L., Hii, S.-F., Jirsov�, D., Pan�kov�, L., Ionic_, A.M., Gilchrist, K., Modr_, D., Mihalca, A.D., Webb, C.E., Traub, R.J., _lapeta, J., 2015. Integrated morphological and molecular identification of cat fleas (Ctenocephalides felis) and dog fleas (Ctenocephalides canis) vectoring Rickettsia felis in central Europe. Vet. Parasitol. 210, 215-223."
AL351,AL351-2,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h9,included,Clade 2,Temperate,CTENO187-18,KP684202.1,,,,Europe,Czech Republic,�st� nad Labem Region,Louny,50.3521,13.8033,Felis catus & Canis Lupus familiaris,cats and dogs,16-June-2014,Lucia Panakova,"Lawrence, A.L., Hii, S.-F., Jirsov�, D., Pan�kov�, L., Ionic_, A.M., Gilchrist, K., Modr_, D., Mihalca, A.D., Webb, C.E., Traub, R.J., _lapeta, J., 2015. Integrated morphological and molecular identification of cat fleas (Ctenocephalides felis) and dog fleas (Ctenocephalides canis) vectoring Rickettsia felis in central Europe. Vet. Parasitol. 210, 215-223."
AL351,AL351-3,Ctenocephalides felis,felis,1,0,1,1,1,0,1,1,h9,included,Clade 2,Temperate,CTENO188-18,KP684201.1,,,,Europe,Czech Republic,�st� nad Labem Region,Louny,50.3521,13.8033,Felis catus & Canis Lupus familiaris,cats and dogs,16-June-2014,Lucia Panakova,"Lawrence, A.L., Hii, S.-F., Jirsov�, D., Pan�kov�, L., Ionic_, A.M., Gilchrist, K., Modr_, D., Mihalca, A.D., Webb, C.E., Traub, R.J., _lapeta, J., 2015. Integrated morphological and molecular identification of cat fleas (Ctenocephalides felis) and dog fleas (Ctenocephalides canis) vectoring Rickettsia felis in central Europe. Vet. Parasitol. 210, 215-223."
AL351,AL351-4,Ctenocephalides felis,felis,1,0,1,1,1,0,1,1,h38,included,Clade 1,Temperate,CTENO189-18,KP684190.1,,,,Europe,Czech Republic,�st� nad Labem Region,Louny,50.3521,13.8033,Felis catus & Canis Lupus familiaris,cats and dogs,16-June-2014,Lucia Panakova,"Lawrence, A.L., Hii, S.-F., Jirsov�, D., Pan�kov�, L., Ionic_, A.M., Gilchrist, K., Modr_, D., Mihalca, A.D., Webb, C.E., Traub, R.J., _lapeta, J., 2015. Integrated morphological and molecular identification of cat fleas (Ctenocephalides felis) and dog fleas (Ctenocephalides canis) vectoring Rickettsia felis in central Europe. Vet. Parasitol. 210, 215-223."
AL351,AL351-5,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h38,included,Clade 1,Temperate,CTENO190-18,KP684189.1,,,,Europe,Czech Republic,�st� nad Labem Region,Louny,50.3521,13.8033,Felis catus & Canis Lupus familiaris,cats and dogs,16-June-2014,Lucia Panakova,"Lawrence, A.L., Hii, S.-F., Jirsov�, D., Pan�kov�, L., Ionic_, A.M., Gilchrist, K., Modr_, D., Mihalca, A.D., Webb, C.E., Traub, R.J., _lapeta, J., 2015. Integrated morphological and molecular identification of cat fleas (Ctenocephalides felis) and dog fleas (Ctenocephalides canis) vectoring Rickettsia felis in central Europe. Vet. Parasitol. 210, 215-223."
AL354,AL354-1,Ctenocephalides felis,felis,1,0,1,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO191-18,KP684196.1,,,,Europe,Czech Republic,Liberec Region,Jablonec nad Nisou,50.7274,15.1686,Felis catus & Canis Lupus familiaris,cats and dogs,16-June-2014,Lucia Panakova,"Lawrence, A.L., Hii, S.-F., Jirsov�, D., Pan�kov�, L., Ionic_, A.M., Gilchrist, K., Modr_, D., Mihalca, A.D., Webb, C.E., Traub, R.J., _lapeta, J., 2015. Integrated morphological and molecular identification of cat fleas (Ctenocephalides felis) and dog fleas (Ctenocephalides canis) vectoring Rickettsia felis in central Europe. Vet. Parasitol. 210, 215-223."
AL354,AL354-2,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h39,included,Clade 1,Temperate,CTENO192-18,KP684188.1,,,,Europe,Czech Republic,Liberec Region,Jablonec nad Nisou,50.7274,15.1686,Felis catus & Canis Lupus familiaris,cats and dogs,16-June-2014,Lucia Panakova,"Lawrence, A.L., Hii, S.-F., Jirsov�, D., Pan�kov�, L., Ionic_, A.M., Gilchrist, K., Modr_, D., Mihalca, A.D., Webb, C.E., Traub, R.J., _lapeta, J., 2015. Integrated morphological and molecular identification of cat fleas (Ctenocephalides felis) and dog fleas (Ctenocephalides canis) vectoring Rickettsia felis in central Europe. Vet. Parasitol. 210, 215-223."
AL371,AL371-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h3,included,Clade 6,Tropical II,CTENO193-18,MG586382,,,,Oceania,Solomon Islands,Guadalcanal Island,Honiara�,-9.4425,159.9712,Canis lupus familiaris,free-roaming dog,04-August-2014,Graeme Brown,
AL373,AL373-1,Ctenocephalides felis,felis,1,0,1,1,1,0,1,1,h3,included,Clade 6,Tropical II,CTENO194-18,MG586383,,,,Oceania,Solomon Islands,Guadalcanal Island,Honiara�,-9.4425,159.9712,Canis lupus familiaris,free-roaming dog,04-August-2014,Graeme Brown,
AL375,AL375-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h3,included,Clade 6,Tropical II,CTENO195-18,MG586384,,,,Oceania,Solomon Islands,Guadalcanal Island,Honiara�,-9.4425,159.9712,Canis lupus familiaris,free-roaming dog,04-August-2014,Graeme Brown,
AL377,AL377-1,Ctenocephalides felis,felis,1,0,1,1,1,0,1,1,h3,included,Clade 6,Tropical II,CTENO196-18,MG586385,,,,Oceania,Solomon Islands,Guadalcanal Island,Honiara�,-9.4425,159.9712,Canis lupus familiaris,free-roaming dog,04-August-2014,Graeme Brown,
AL378,AL378-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h3,included,Clade 6,Tropical II,CTENO197-18,MG586386,,,,Oceania,Solomon Islands,Guadalcanal Island,Honiara�,-9.4425,159.9712,Canis lupus familiaris,free-roaming dog,04-August-2014,Graeme Brown,
AL379,AL379-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h40,included,Clade 6,Tropical II,CTENO198-18,MG586387,,,,South America,Paraguay,Capital District,"Barrio Obrero, Asunci�n",-24.1365,-54.6081,Canis lupus familiaris,dog,01-August-2014,Jorge Miret,
AL381,AL381-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h17,included,Clade 6,Tropical II,CTENO199-18,MG586388,,,,South America,Paraguay,Central Department,"Barcequillo, San Lorenzo",-25.3545,-57.5464,Canis lupus familiaris,dog,01-August-2014,Jorge Miret,
AL384,AL384-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h17,included,Clade 6,Tropical II,CTENO200-18,MG586389,,,,South America,Paraguay,Central Department,"San Jos�, Villa Elisa",-25.3596,-57.5734,Canis lupus familiaris,dog,01-August-2014,Jorge Miret,
AL386,AL386-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h17,included,Clade 6,Tropical II,CTENO201-18,MG586390,,,,South America,Paraguay,Central Department,Limpio,-25.1595,-57.4514,Canis lupus familiaris,dog,01-August-2014,Jorge Miret,
AL387,AL387-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h17,included,Clade 6,Tropical II,CTENO202-18,MG586391,,,,South America,Paraguay,Central Department,�emby,-25.3962,-57.5363,Canis lupus familiaris,dog,01-August-2014,Jorge Miret,
AL390,AL390-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h17,included,Clade 6,Tropical II,CTENO203-18,MG586392,,,,South America,Paraguay,Central Department,Fernando de la Mora,-25.3252,-57.5476,Canis lupus familiaris,dog,01-August-2014,Jorge Miret,
AL392,AL392-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h17,included,Clade 6,Tropical II,CTENO204-18,MG586393,,,,South America,Paraguay,Alto Paran� Department,Minga Guaz�,-25.5302,-54.8291,Canis lupus familiaris,dog,01-August-2014,Jorge Miret,
AL394,AL394-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h17,included,Clade 6,Tropical II,CTENO205-18,MG586394,,,,South America,Paraguay,Alto Paran� Department,Minga Guaz�,-25.5302,-54.8291,Canis lupus familiaris,dog,01-August-2014,Jorge Miret,
AL395,AL395-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h17,included,Clade 6,Tropical II,CTENO206-18,MG586395,,,,South America,Paraguay,Alto Paran� Department,Minga Guaz�,-25.5302,-54.8291,Canis lupus familiaris,dog,01-August-2014,Jorge Miret,
AL397,AL397-1,Ctenocephalides felis,felis,1,0,1,1,1,0,1,1,h17,included,Clade 6,Tropical II,CTENO207-18,MG586396,,,,South America,Paraguay,Alto Paran� Department,Minga Guaz�,-25.5302,-54.8291,Canis lupus familiaris,dog,01-August-2014,Jorge Miret,
AL398,AL398-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h17,included,Clade 6,Tropical II,CTENO208-18,MG586397,,,,South America,Paraguay,Alto Paran� Department,Minga Guaz�,-25.5302,-54.8291,Canis lupus familiaris,dog,01-August-2014,Jorge Miret,
AL399,AL399-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h17,included,Clade 6,Tropical II,CTENO209-18,MG586398,,,,South America,Paraguay,Alto Paran� Department,Minga Guaz�,-25.5302,-54.8291,Canis lupus familiaris,dog,01-August-2014,Jorge Miret,
AL428,AL428-1,Ctenocephalides felis,felis,1,0,1,1,1,0,1,1,h17,included,Clade 6,Tropical II,CTENO210-18,MG586399,,,,South America,Paraguay,Cordillera Department,"Centro, Caacup�",-25.3810,-57.1577,Canis lupus familiaris,dog,01-August-2014,Jorge Miret,
AL429,AL429-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h17,included,Clade 6,Tropical II,CTENO211-18,MG586400,,,,South America,Paraguay,Paraguar� Department,"Centro, Paraguar�",-25.6263,-57.1507,Canis lupus familiaris,dog,01-August-2014,Jorge Miret,
AL436,AL436-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h17,included,Clade 6,Tropical II,CTENO212-18,MG586401,,,,South America,Paraguay,Central Department,Itaugu�,-25.4106,-57.3610,Canis lupus familiaris,dog,01-August-2014,Jorge Miret,
AL438,AL438-1,Ctenocephalides felis,felis,1,0,1,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO213-18,MG586402,,,,North America,Mexico,State of Mexico,Mexico City,19.4326,-99.1332,Canis lupus familiaris,dog,01-August-2014,Jorge Miret,
AL438,AL438-2,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO214-18,MG586403,,,,North America,Mexico,State of Mexico,Mexico City,19.4326,-99.1332,Canis lupus familiaris,dog,01-August-2014,Jorge Miret,
AL438,AL438-3,Ctenocephalides felis,felis,1,0,1,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO215-18,MG586404,,,,North America,Mexico,State of Mexico,Mexico City,19.4326,-99.1332,Canis lupus familiaris,dog,01-August-2014,Jorge Miret,
AL439,AL439-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO216-18,MG586405,,,,Europe,Belgium,Hainaut,Graty,50.6320,3.9960,Canis lupus familiaris,owned dog,01-September-2014,Charlotte Sarre,
AL439,AL439-2,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO217-18,MG586406,,,,Europe,Belgium,Hainaut,Graty,50.6320,3.9960,Canis lupus familiaris,owned dog,01-September-2014,Charlotte Sarre,
AL440,AL440-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h41,included,Clade 1,Temperate,CTENO218-18,MG586407,,,,Europe,Belgium,East Flanders,Oostakker,51.0997,3.7642,Felis catus,owned cat,01-September-2014,Charlotte Sarre,
AL440,AL440-2,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO219-18,MG586408,,,,Europe,Belgium,East Flanders,Oostakker,51.0997,3.7642,Felis catus,owned cat,01-September-2014,Charlotte Sarre,
AL441,AL441-1,Ctenocephalides felis,felis,1,0,1,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO220-18,MG586409,,,,Europe,Belgium,Walloon Brabant,Rebecq,50.6658,4.1326,Canis lupus familiaris,owned dog,01-September-2014,Charlotte Sarre,
AL442,AL442-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO221-18,MG586410,,,,Europe,France,Anjou,Angers,47.4784,-0.5632,Canis lupus familiaris,owned dog,01-August-2014,Marc-Antoine Rappart,
AL443,AL443-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO222-18,MG586411,,,,Europe,France,Anjou,Angers,47.4784,-0.5632,Canis lupus familiaris,owned dog,01-August-2014,Marc-Antoine Rappart,
AL444,AL444-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO223-18,MG586412,,,,Europe,France,Anjou,Angers,47.4784,-0.5632,Canis lupus familiaris,owned dog,01-August-2014,Marc-Antoine Rappart,
AL445,AL445-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO224-18,MG586413,,,,Europe,France,Anjou,Angers,47.4784,-0.5632,Felis catus,owned cat,01-August-2014,Marc-Antoine Rappart,
AL446,AL446-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO225-18,MG586414,,,,Europe,France,Anjou,Angers,47.4784,-0.5632,Felis catus,owned cat,01-August-2014,Marc-Antoine Rappart,
AL447,AL447-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO226-18,MG586415,,,,Europe,France,Anjou,Angers,47.4784,-0.5632,Canis lupus familiaris,owned dog,01-August-2014,Marc-Antoine Rappart,
AL448,AL448-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO227-18,MG586416,,,,Europe,Greece,unknown,unknown,37.9838,23.7275,Canis lupus familiaris,dogs,02-July-2012,Domenico Otranto,
AL448,AL448-2,Ctenocephalides felis,felis,1,0,1,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO228-18,MG586417,,,,Europe,Greece,unknown,unknown,37.9838,23.7275,Canis lupus familiaris,dogs,02-July-2012,Domenico Otranto,
AL448,AL448-3,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO229-18,MG586418,,,,Europe,Greece,unknown,unknown,37.9838,23.7275,Canis lupus familiaris,dogs,02-July-2012,Domenico Otranto,
AL448,AL448-4,Ctenocephalides felis,felis,1,0,1,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO230-18,MG586419,,,,Europe,Greece,unknown,unknown,37.9838,23.7275,Canis lupus familiaris,dogs,02-July-2012,Domenico Otranto,
AL448,AL448-5,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO231-18,MG586420,,,,Europe,Greece,unknown,unknown,37.9838,23.7275,Canis lupus familiaris,dogs,02-July-2012,Domenico Otranto,
AL451,AL451-1,Ctenocephalides felis,felis,1,0,1,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO232-18,MG586421,,,,Europe,Portugal,unknown,unknown,38.7223,-9.1393,Felis catus,cat,unknown,Ana Margarida Alho,
AL451,AL451-2,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO233-18,MG586422,,,,Europe,Portugal,unknown,unknown,38.7223,-9.1393,Felis catus,cat,unknown,Ana Margarida Alho,
AL453,AL453-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO234-18,MG586423,,,,Europe,Italy,Basilicata,La Casa di Caccia,40.5401,16.0777,Canis lupus familiaris,owned dog,07-September-2014,Andrea Lawrence,
AL454,AL454-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO235-18,MG586424,,,,Europe,Italy,Basilicata,La Casa di Caccia,40.5401,16.0777,Canis lupus familiaris,guard dog,10-September-2014,Andrea Lawrence,
AL455,AL455-1,Ctenocephalides felis,felis,1,0,1,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO236-18,MG586425,,,,Europe,Italy,Basilicata,La Casa di Caccia,40.5401,16.0777,Felis catus,stray cat,07-September-2014,Andrea Lawrence,
AL456,AL456-1,Ctenocephalides canis,,1,1,0,1,1,0,1,1,h42,included,,,CTENO237-18,MG586426,,,,Europe,Italy,Basilicata,La Casa di Caccia,40.5401,16.0777,Vulpes vulpes,wild red fox,12-September-2014,Andrea Lawrence,
AL457,AL457-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO238-18,MG586427,,,,Europe,Italy,Basilicata,La Casa di Caccia,40.5401,16.0777,Canis lupus familiaris,owned dog,12-September-2014,Andrea Lawrence,
AL458,AL458-1,Ctenocephalides canis,,1,0,1,1,1,0,1,1,h43,included,,,CTENO239-18,MG586428,,,,Europe,Italy,Basilicata,Parco Gallipoli Cognato,40.4920,16.1589,Vulpes vulpes,wild red fox,30-March-2010,Domenico Otranto,
AL472,AL472-1,Ctenocephalides canis,,1,1,0,1,1,0,1,1,h44,included,,,CTENO240-18,MG586429,,,,Europe,Italy,Basilicata,Parco Gallipoli Cognato,40.4920,16.1589,Vulpes vulpes,wild red fox,30-March-2010,Domenico Otranto,
AL514,AL514-1,Ctenocephalides canis,,1,0,1,1,1,0,1,1,h45,included,,,CTENO241-18,MG586430,,,,Europe,Italy,Basilicata,Parco Gallipoli Cognato,40.4920,16.1589,Vulpes vulpes,wild red fox,30-March-2010,Domenico Otranto,
AL556,AL556-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h17,included,Clade 6,Tropical II,CTENO242-18,MG586431,,,,North America,Cuba,La Habana���,Havana,23.1136,-82.3666,Canis lupus familiaris,free-roaming dog,22-September-2014,Graeme Brown,
AL557,AL557-1,Ctenocephalides felis,felis,1,0,1,1,1,0,1,1,h17,included,Clade 6,Tropical II,CTENO243-18,MG586432,,,,North America,Cuba,La Habana���,Havana,23.1136,-82.3666,Canis lupus familiaris,free-roaming dog,22-September-2014,Graeme Brown,
AL557,AL557-2,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h17,included,Clade 6,Tropical II,CTENO244-18,MG586433,,,,North America,Cuba,La Habana���,Havana,23.1136,-82.3666,Canis lupus familiaris,free-roaming dog,22-September-2014,Graeme Brown,
AL557,AL557-3,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h17,included,Clade 6,Tropical II,CTENO245-18,MG586434,,,,North America,Cuba,La Habana���,Havana,23.1136,-82.3666,Canis lupus familiaris,free-roaming dog,22-September-2014,Graeme Brown,
AL566,AL566-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h17,included,Clade 6,Tropical II,CTENO246-18,MG586435,,,,North America,Cuba,Sancti Sp�ritus,Trinidad,21.7960,-79.9808,Canis lupus familiaris,free-roaming dog,22-September-2014,Graeme Brown,
AL570,AL570-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO247-18,MG586436,,,,Oceania,Australia,Tasmania,Kingston Beach,-42.9811,147.3228,Felis catus,owned cat,01-September-2014,Moira van Dorsselaer,
AL576,AL576-1,Ctenocephalides felis,felis,1,1,0,1,1,0,0,0,,excluded (overrepresentation),,,CTENO248-18,MG586437,,,,Oceania,Australia,Tasmania,Taroona,-42.9488,147.3489,Felis catus,owned cat,08-September-2014,Moira van Dorsselaer,
AL577,AL577-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h46,included,Clade 3,Tropical I,CTENO249-18,MG586438,,,,Oceania,Australia,Tasmania,Blackman's Bay,-42.9989,147.3189,Felis catus,owned cat,20-October-2014,Moira van Dorsselaer,
AL579,AL579-1,Ctenocephalides felis,felis,1,0,1,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO250-18,MG586439,,,,Oceania,Australia,Tasmania,Coningham,-43.0833,147.2805,Felis catus,owned cat,03-September-2014,Moira van Dorsselaer,
AL580,AL580-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h25,included,Clade 1,Temperate,CTENO251-18,MG586440,,,,Oceania,Australia,Tasmania,Richmond,-42.7333,147.4333,Felis catus,owned cat,02-September-2014,Moira van Dorsselaer,
AL581,AL581-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO252-18,MG586441,,,,Oceania,Australia,New South Wales,Northbridge,-33.8110,151.2159,"colony fleas, Greater Sydney",Colony reared fleas,29-October-2014,Sally Conlan,
AL582,AL582-1,Ctenocephalides felis,felis,1,1,0,1,1,0,0,0,,excluded (overrepresentation),,,CTENO253-18,MG586442,,,,Oceania,Australia,Tasmania,Lindisfarme,-42.8478,147.3531,Felis catus,owned cat,05-August-2014,Moira van Dorsselaer,
